Bhajan name,Bhajan Link 
Apne Path Par Aap Chalao,https://www.ibiblio.org/ram/audio/bhj01_a1.mp3
Ab Maine Rasna Ka Fal Paaya,https://www.ibiblio.org/ram/audio/bhj02_b3.mp3
Ab Sonp Diya Is Jeevan Ka,https://www.ibiblio.org/ram/audio/bh0816b4.mp3
Ab Kripa Karo,https://www.ibiblio.org/ram/audio/bh0924b5.mp3
Are Man Samajh - Samajh Pag Dhariye,https://www.ibiblio.org/ram/audio/bhj13a4.mp3
Base Raho Shree Ram,https://www.ibiblio.org/ram/audio/bhj01_b2.mp3
Bhajiye Ram Naam Sukhdaai,https://www.ibiblio.org/ram/audio/bhj02_b2.mp3
Bhajman Rammam Maha Abhiramam,https://www.ibiblio.org/ram/audio/bhj02_b4.mp3
Bisar Gai Sab Taat Parai,https://www.ibiblio.org/ram/audio/bhj04_b2.mp3
"Bin Laathi Ke Nikla Andha, Ram Se Koi Milade, Mujhe Ram Se Koi",https://www.ibiblio.org/ram/audio/bhj06_a2.mp3
Brij Ke Nand Lala,https://www.ibiblio.org/ram/audio/bh0816b1.mp3
Bhaj Man Mere Ram Naam Tu,https://www.ibiblio.org/ram/audio/bh0924a4.mp3
Beet Gaye Din Bhajan Bina Re,https://www.ibiblio.org/ram/audio/cd_05_02.mp3
Bajigar Ki Baje Ri Bansuri,https://www.ibiblio.org/ram/audio/cd_06_06.mp3
Bhagwan Ke Sachche Bhagton Ko,https://www.ibiblio.org/ram/audio/cd_07_01.mp3
Bole Bole Re Ram,https://www.ibiblio.org/ram/audio/cd_08_02.mp3
Bhajle Mann Tu Ram,https://www.ibiblio.org/ram/audio/cd_09_01.mp3
Bhaj Shree Ramam,https://www.ibiblio.org/ram/audio/cd_09_11.mp3
Bolo Ram Bolo Ram,https://www.ibiblio.org/ram/audio/cd_09_12.mp3
Chali Ja Rahi Hai,https://www.ibiblio.org/ram/audio/bhj11a3.mp3
Chaliye Chaliye Chaliye Shree Ram Sharan Chaliye,https://www.ibiblio.org/ram/audio/cd_08_03.mp3
Charan Kamal Bandau Harirayi,https://www.ibiblio.org/ram/audio/KC_Charan%20Kamal%20Bandau%20Harirayi.mp3
Darshan Deejo,https://www.ibiblio.org/ram/audio/bhj01_b3.mp3
Daata Ram Diye Hi Jaata,https://www.ibiblio.org/ram/audio/bh0924a2.mp3
Dukhiyno Ke Sankat Jo Door Kare,https://www.ibiblio.org/ram/audio/cd_06_02.mp3
Darshan Do Guru Pran Pyare,https://www.ibiblio.org/ram/audio/cd_08_04.mp3
Eso ko Udhdhar Jag Mahin,https://www.ibiblio.org/ram/audio/bh0924a5.mp3
Guru Bin Kaun Samhare,https://www.ibiblio.org/ram/audio/bh0924a1.mp3
Gurudev Daya Karke,https://www.ibiblio.org/ram/audio/bh10b164.mp3
Guru Charnan Mein Dhyan Lagaun,https://www.ibiblio.org/ram/audio/bhj12a3.mp3
Guru Agya Mein Nish Din Rahiye,https://www.ibiblio.org/ram/audio/bhj12b1.mp3
Guruvar Tumhare Pyar Ne,https://www.ibiblio.org/ram/audio/bhj15b4.mp3
Guru Charnan mein Sheesh Jhuka Le,https://www.ibiblio.org/ram/audio/cd_05_03.mp3
Ghunghat Ka Pat Khol Re,https://www.ibiblio.org/ram/audio/cd_05_04.mp3
"Gururbrahma, Gururvishnu",https://www.ibiblio.org/ram/audio/cd_06_01.mp3
Ghat Ghat Mein Panchi Bolta,https://www.ibiblio.org/ram/audio/cd_06_07.mp3
Guru Ki Mahima,https://www.ibiblio.org/ram/audio/bp0216b1.mp3
Guru Darshan Bin Hamein na Jeena,https://www.ibiblio.org/ram/audio/cd_08_07.mp3
"Hath Vich Maala Nu Farr Ke, Dhyan Satguru Da",https://www.ibiblio.org/ram/audio/bhj04_a2.mp3
"Hanuman Vandana, Anjana Sut he",https://www.ibiblio.org/ram/audio/bh0924b1.mp3
He Dayamay Deen Bandhu,https://www.ibiblio.org/ram/audio/bh10a364.mp3
Hari Om Tatsat,https://www.ibiblio.org/ram/audio/bhj11a1.mp3
Hariye Na Himmat Bisariye Na Ram,https://www.ibiblio.org/ram/audio/bhj12b3.mp3
Hari Ka Rang Mein Prabhu Ka Rang Mein,https://www.ibiblio.org/ram/audio/bhj14b3.mp3
Hari Tum Haro Jaan Ki,https://www.ibiblio.org/ram/audio/cd_05_06.mp3
Hey Govind Rakho Sharan,https://www.ibiblio.org/ram/audio/cd_05_07.mp3
Hum Se Bhali Jungle Ki Chidiya,https://www.ibiblio.org/ram/audio/cd_08_05.mp3
He Dukh Bhanjan Raghunath Haro Dukh Mere,https://www.ibiblio.org/ram/audio/cd_08_06.mp3
Itna to Karna Swami,https://www.ibiblio.org/ram/audio/bh0816a1.mp3
Japo Ji Nitya Ram Ram Shree Ram,https://www.ibiblio.org/ram/audio/bhj02_b1.mp3
Jaganmaat Jagdambe Tere Jaikaare,https://www.ibiblio.org/ram/audio/bhj03_b2.mp3
Jinne Ek Vaari Vekhya,https://www.ibiblio.org/ram/audio/bhj04_a4.mp3
Jara Aa Sharan Mere Ram Ki,https://www.ibiblio.org/ram/audio/bhj05_b3.mp3
Jab Ram Nam Gunn,https://www.ibiblio.org/ram/audio/bh0816b3.mp3
Jise Dekhta Hnu Vahi Roop Tera,https://www.ibiblio.org/ram/audio/bh10b264.mp3
Janam Tera Baton Mein Beet,https://www.ibiblio.org/ram/audio/bhj11b4.mp3
Janm Safal Hoga Re Bande,https://www.ibiblio.org/ram/audio/bhj15a4.mp3
Jagat Mein Ram Naam Hai Saar,https://www.ibiblio.org/ram/audio/cd_06_08.mp3
Kaiyna Janma De Baad Chola Paaya,https://www.ibiblio.org/ram/audio/bhj04_b1.mp3
Kisi Bhaav Se Kisi Naam Se,https://www.ibiblio.org/ram/audio/bhj05_b4.mp3
Kaahe Ram Se Lo Na Lagai,https://www.ibiblio.org/ram/audio/bhj07_a2.mp3
Karuna Karo Mere Ram,https://www.ibiblio.org/ram/audio/bhj13a2.mp3
Kanha Re Tu Radha Ban Ja,https://www.ibiblio.org/ram/audio/bhj15b3.mp3
Koi Kahiyo re Prabhu Aavan Ki,https://www.ibiblio.org/ram/audio/KC_Koi%20Kahiyo%20Re%20Prabhu%20Aavan%20Ki.mp3
Likh Satguru Val Paaiyna Chiththiyna,https://www.ibiblio.org/ram/audio/bhj04_b4.mp3
Lali Mere Lal Ki - Ram Rang Laga,https://www.ibiblio.org/ram/audio/cd_06_04.mp3
Lele Dard Paraya Karde Door Gum Ka Saya,https://www.ibiblio.org/ram/audio/cd_09_08.mp3
Laaiyna Tod Nibhai Saaiyna,https://www.ibiblio.org/ram/audio/cd_09_10.mp3
Mere Rom Rom Shree Ram Pukaare,https://www.ibiblio.org/ram/audio/bhj01_a2.mp3
Manjhi Kitni Door Kinara,https://www.ibiblio.org/ram/audio/bhj01_a3.mp3
Maharaj Kripalu Bare,https://www.ibiblio.org/ram/audio/bhj01_b1.mp3
Mere Raam Rai,https://www.ibiblio.org/ram/audio/bhj01_b4.mp3
